               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  24,            0.048112,             0.01296,                   0,             0.58528,             0.60714,             0.54396,             0.21505,            0.042365,           0.0062283,                   0,            0.008482,            0.008482,            0.008482
                  25,            0.042754,            0.010172,                   0,             0.60478,             0.60714,             0.51837,              0.2679,            0.036317,           0.0063028,                   0,            0.008416,            0.008416,            0.008416
                  26,            0.046598,            0.011475,                   0,              0.7199,             0.71429,             0.66567,             0.30216,            0.035608,           0.0059223,                   0,             0.00835,             0.00835,             0.00835
                  27,            0.042056,            0.010869,                   0,             0.69162,             0.67857,              0.6999,             0.38004,            0.032676,           0.0062431,                   0,            0.008284,            0.008284,            0.008284
                  28,            0.039019,           0.0095643,                   0,             0.67373,             0.64286,             0.64893,             0.27718,            0.036932,           0.0069853,                   0,            0.008218,            0.008218,            0.008218
                  29,            0.041025,            0.011074,                   0,              0.5979,             0.64286,             0.66678,             0.32295,            0.036432,           0.0063628,                   0,            0.008152,            0.008152,            0.008152
                  30,             0.04472,             0.01071,                   0,             0.69519,             0.71429,             0.70736,             0.38162,            0.033126,           0.0059748,                   0,            0.008086,            0.008086,            0.008086
                  31,            0.041025,            0.010256,                   0,             0.62832,             0.60385,             0.66532,             0.32682,             0.03559,           0.0060707,                   0,             0.00802,             0.00802,             0.00802
                  32,            0.043162,            0.011526,                   0,             0.63873,             0.71429,              0.7136,             0.39016,            0.037633,            0.005776,                   0,            0.007954,            0.007954,            0.007954
                  33,            0.037863,           0.0095845,                   0,             0.83249,             0.60714,             0.71403,              0.3161,            0.037157,           0.0055578,                   0,            0.007888,            0.007888,            0.007888
                  34,            0.038659,            0.010263,                   0,             0.65602,              0.6812,             0.68757,             0.39097,            0.032674,           0.0055319,                   0,            0.007822,            0.007822,            0.007822
                  35,            0.038082,           0.0093921,                   0,             0.63222,             0.61414,             0.62232,              0.3656,            0.033802,           0.0054483,                   0,            0.007756,            0.007756,            0.007756
                  36,            0.035909,           0.0092104,                   0,             0.82885,             0.57143,             0.70424,             0.40179,            0.033165,           0.0053192,                   0,             0.00769,             0.00769,             0.00769
                  37,             0.03732,           0.0093768,                   0,             0.69457,             0.64994,             0.70881,             0.37922,            0.036208,           0.0052814,                   0,            0.007624,            0.007624,            0.007624
                  38,            0.037998,            0.010774,                   0,             0.73768,             0.64286,             0.70063,             0.44004,            0.032765,           0.0052444,                   0,            0.007558,            0.007558,            0.007558
                  39,             0.03362,           0.0075571,                   0,              0.6656,             0.71098,              0.7141,              0.4002,            0.034747,           0.0050086,                   0,            0.007492,            0.007492,            0.007492
                  40,            0.037231,            0.010203,                   0,             0.68162,                0.75,             0.73011,             0.41508,            0.033476,           0.0051486,                   0,            0.007426,            0.007426,            0.007426
                  41,            0.036338,            0.010862,                   0,             0.79846,             0.70767,              0.7437,              0.3461,            0.036329,           0.0051445,                   0,             0.00736,             0.00736,             0.00736
                  42,            0.035266,           0.0099304,                   0,             0.80754,             0.67857,             0.76182,             0.39209,            0.034584,           0.0051683,                   0,            0.007294,            0.007294,            0.007294
                  43,            0.035416,           0.0082598,                   0,             0.76995,             0.71429,              0.7509,             0.40253,             0.03489,           0.0053787,                   0,            0.007228,            0.007228,            0.007228
                  44,            0.036363,           0.0080239,                   0,             0.76402,             0.64286,             0.72001,             0.40518,            0.032352,           0.0054067,                   0,            0.007162,            0.007162,            0.007162
                  45,            0.033272,           0.0081939,                   0,             0.74899,             0.63953,             0.70185,             0.36424,            0.035353,           0.0054092,                   0,            0.007096,            0.007096,            0.007096
                  46,            0.033553,           0.0088147,                   0,             0.71428,             0.60714,             0.67785,             0.31978,            0.038562,           0.0055927,                   0,             0.00703,             0.00703,             0.00703
                  47,            0.035739,           0.0090316,                   0,             0.63712,             0.71429,             0.70798,             0.37108,            0.040072,           0.0055162,                   0,            0.006964,            0.006964,            0.006964
                  48,            0.035359,           0.0094606,                   0,             0.76831,             0.71429,             0.71743,             0.34871,            0.037625,           0.0053923,                   0,            0.006898,            0.006898,            0.006898
                  49,            0.031768,           0.0086275,                   0,             0.66967,             0.67857,             0.69981,             0.38335,            0.036308,           0.0054616,                   0,            0.006832,            0.006832,            0.006832
                  50,            0.032793,           0.0083835,                   0,             0.72081,             0.67857,             0.70358,             0.42964,            0.033559,           0.0054457,                   0,            0.006766,            0.006766,            0.006766
                  51,            0.032255,           0.0083234,                   0,             0.67693,             0.71429,             0.71095,             0.37759,            0.033826,           0.0055933,                   0,              0.0067,              0.0067,              0.0067
                  52,             0.03421,           0.0092991,                   0,             0.80835,             0.57143,             0.67419,             0.37732,            0.032785,           0.0054784,                   0,            0.006634,            0.006634,            0.006634
                  53,            0.031708,           0.0085853,                   0,             0.71636,             0.60714,             0.66667,             0.32558,            0.037004,           0.0057745,                   0,            0.006568,            0.006568,            0.006568
                  54,            0.032628,           0.0084855,                   0,             0.69212,             0.60714,             0.66384,             0.31976,            0.034371,           0.0058219,                   0,            0.006502,            0.006502,            0.006502
                  55,            0.030446,           0.0094142,                   0,             0.58114,             0.60714,             0.64224,                0.38,            0.030502,           0.0054941,                   0,            0.006436,            0.006436,            0.006436
                  56,            0.032767,            0.010258,                   0,             0.64801,             0.59208,             0.61982,              0.3575,            0.032266,           0.0055447,                   0,             0.00637,             0.00637,             0.00637
                  57,            0.031104,           0.0080962,                   0,             0.67772,             0.60714,             0.65457,             0.37309,            0.030955,           0.0054994,                   0,            0.006304,            0.006304,            0.006304
                  58,            0.033599,           0.0081079,                   0,             0.62487,             0.71429,             0.68853,             0.37503,            0.033183,           0.0057641,                   0,            0.006238,            0.006238,            0.006238
                  59,            0.029866,           0.0085264,                   0,             0.54568,             0.67857,             0.66562,             0.37171,            0.033226,           0.0058351,                   0,            0.006172,            0.006172,            0.006172
                  60,            0.030915,           0.0087914,                   0,             0.62482,             0.71429,              0.6559,             0.39986,            0.030473,           0.0056016,                   0,            0.006106,            0.006106,            0.006106
                  61,            0.027931,           0.0082447,                   0,             0.61727,                0.75,             0.68427,             0.38704,            0.030653,           0.0055846,                   0,             0.00604,             0.00604,             0.00604
                  62,            0.032537,           0.0095256,                   0,             0.63418,             0.64286,             0.67122,             0.42021,            0.029383,           0.0054332,                   0,            0.005974,            0.005974,            0.005974
                  63,            0.028261,           0.0078591,                   0,             0.67552,             0.74369,             0.66282,             0.39788,            0.031233,           0.0055296,                   0,            0.005908,            0.005908,            0.005908
